おまC,
母がピーマンを口にくわえながら料理を作っていた,ハハガピーマンヲクチニクワエナガラリョウリヲツクッテイタ
てめぇの頭はハッピーセットかよ？,テメェノアタマハハッピーセットカヨ
お前らナデシコJAPANのことブサイクとか言ってるけど,オマエラナデシコジャパンノコトブサイクトカイッテルケド
でもお前ハゲじゃん,デモオマエハゲジャン
メシマズ嫁,メシマズヨメ
タオパンパ,タオパンパ
ま～ん（笑）,マーン
ファインデム地蔵,ファインデムジゾウ
10まで息止める,ジュウマデイキトメル
寄り道がてら見知らぬラーメン屋に立ち入ったら、 そこで偶然中学のときのクラスメート数人とばったり出会ったのよ。,ヨリミチガテラミシラヌラーメンヤニタチイッタラソコデグウゼンチュウガクノトキノクラスメートスウニントバッタリデアッタノヨ
あっち向いてホイ→,アッチムイテホイ
女「どうしたの深刻そうな顔して」,ドウシタノシンコクソウナカオシテ
女性とは何かを表す証明式,ジョセイトハナニカヲアラワスショウメイシキ
いよいよ明日がセンター試験本番ですよ！ むっちゃドキドキしてきた…。,イヨイヨアスガセンターシケンホンバンデスヨ ムッチャドキドキシテキタ
アメリカ人のバーベキューへの思い入れ,アメリカジンノバーベキューヘノオモイイレ
無言レスアンカーの心理,ムゴンレスアンカーノシンリ
一般人のアニメ作品に対する認識,
君も人生と向き合う時なんだ,キミモジンセイトムキアウトキナンダ
フレッツ闇,フレッツヤミ
うはｗｗｗｗ信号青すぎｗｗｗｗｗワタロｗｗｗｗｗｗｗｗｗｗｗ,ウハ シンゴウアオスギ ワタロ
メイクイットパッスィボゥ,メイクイットパッスィボゥ
リチャードボイラン,リチャードボイラン
ブラックホール企業,ブラックホールキギョウ
会いたくて震える,アイタクテフルエル
テラ豚丼騒動,テラブタドンソウドウ
vvsm,ヴァヴァサマ
弗,ドル
NNN,エヌエヌエヌ
養分,ヨウブン
ヌカ,ヌカ
天蓋,テンガイ
煎餅屋,センベイヤ
産廃,サンパイ
海鮮、回線,カイセン
埋め,ウメ
サジェスト汚染,サジェストオセン
デーオタ,デーオタ
小坂ゾーン,コサカゾーン
オレ選手,オレセンシュ
ドッキングにぼし,ドッキングニボシ
ぬるコぽっぷ,ヌルコポップ
ROM専,ロムセン
k（お金などの単位）,ケー
ウォーター(ヲーター),ウォーター
2chの地域表示における内モンゴル自治区,ウチモンゴルジチク
dpk,ドピコ
…もう…やめちゃってもいい…かなァ…人生,モウヤメチャッテモイイカナァジンセイ
今朝、自販機で缶コーヒー買ったら 「おはようございます。お仕事頑張ってください！」って言われた。,ケサ、ジハンキデカンコーヒーカッタラオハヨウゴザイマスオシゴトガンバッテクダサイッテイワレタ
夢の国デスニートランド,ユメノクニデスニートランド
とっとこハム太郎の替え歌,トットコハムタロウノカエウタ
「おやじ、今日俺退職するんだ。」,オヤジ、キョウオレタイショクスルンダ
デュフフww,デュフフ
マジレスすると,マジレススルト
ぬまっき,ヌマッキ
ろっぽんぞー,ロッポンゾー
金コマ,カネコマ
アフィチル,アフィチル
こマ？,コマ
イミフナズン,イミフナズン
セゲオ,セゲオ
なぜこんなことになってしまったんだ,ナゼコンナコトニナッテシマッタンダ
これあかんやつや,コレアカンヤツヤ
だよもん星人,ダヨモンセイジン
さやかわいい,サヤカワイイ
変態という名の紳士,ヘンタイトイウナノシンシ
どうしてああなった,ドウシテアアナッタ
ほぼイキかけました,ホボイキカケマシタ
チーッス,チーッス
天狗じゃ、天狗の仕業じゃ！,テングジャ テングノシワザジャ
ババア結婚してくれ,ババアケッコンシテクレ
USUGEMAN,ウスゲマン
俺提督,オレテイトク
ぐう凡,グウボン
やキ神,ヤキカミ
(^o^)/＼ｳﾃﾞｵﾚﾀ,ウデオレタ
ピンズド（ピンポイントでｽﾞﾄﾞﾝ、ｽﾞﾄﾞﾝ）,ピンポイントデズドンズドン
片栗粉X,カタクリコエックス
距離梨,キョリナシ
ドヴァ帝国,ドヴァテイコク
おさわりまんこっちです,オサワリマンコッチデス
売って売って売りまくれ,ウッテウッテウリマクレ
加速するストレート,カソクスルストレート
sage強要厨,サゲキョウヨウチュウ
